time,x,y,z,roll,pitch,yaw
100,4.984,-0.0221405029296875,0.038482666015625,-0.9774017333984375,-0.01347745954990387,-0.05481104925274849,0.012967463582754135
101,5.034,-0.0399627685546875,0.0460968017578125,-0.9864349365234375,0.03826296702027321,0.027596740052103996,0.0010191916953772306
102,5.084,-0.0097808837890625,0.0195159912109375,-0.9671173095703125,-0.040834780782461166,0.10891024023294449,0.033546775579452515
103,5.133,0.0030975341796875,0.069976806640625,-0.971954345703125,-0.053223006427288055,0.14302480220794678,0.054788678884506226
104,5.183,-0.01495361328125,0.07440185546875,-1.0149383544921875,0.05288425460457802,0.11017071455717087,0.043239615857601166
105,5.233,-0.0211639404296875,0.04296875,-0.9686431884765625,-0.009399893693625927,0.12439785152673721,0.000013315805517777335
106,5.283,-0.0002899169921875,0.0232391357421875,-1.0081939697265625,0.03971651941537857,0.04626549780368805,-0.07731209695339203
107,5.333,-0.0076141357421875,0.032257080078125,-0.9987945556640625,0.0073082465678453445,0.12254269421100616,-0.03820384293794632
108,5.383,0.0070037841796875,0.0352783203125,-1.010162353515625,-0.1243874654173851,-0.07941759377717972,-0.04827538877725601
109,5.433,0.0352935791015625,0.072662353515625,-1.1331024169921875,0.30653116106987,-0.07828761637210846,0.1201610267162323
